category,forecast_year,model,MAE,RMSE,MAPE,train_time_sec
Bakery and cereal products (excluding baby food),2021,AutoETS,2.2701563867885093,2.4586932872421015,1.4387860087332034,166.42599844932556
Bakery and cereal products (excluding baby food),2021,Chronos[autogluon__chronos-t5-small],2.153672536214195,2.8568899308056244,1.3479045502753384,166.42599844932556
Bakery and cereal products (excluding baby food),2021,TemporalFusionTransformer,2.1121706644694007,2.4219586685766172,1.3371461521871733,166.42599844932556
Bakery and cereal products (excluding baby food),2021,DeepAR,2.4528232574462905,2.809213987784061,1.5505252590259213,166.42599844932556
Bakery and cereal products (excluding baby food),2021,SimpleFeedForward,3.943136088053386,4.170646538092573,2.502546629110402,166.42599844932556
Bakery and cereal products (excluding baby food),2021,WeightedEnsemble,2.9957089742024743,3.17191508780001,1.9016976593037287,166.42599844932556
Bakery and cereal products (excluding baby food),2022,AutoETS,17.24640056739848,18.507546644883995,9.556623031539447,136.5011966228485
Bakery and cereal products (excluding baby food),2022,Chronos[autogluon__chronos-t5-small],19.226821136474612,20.487371319650286,10.663905271383449,136.5011966228485
Bakery and cereal products (excluding baby food),2022,TemporalFusionTransformer,18.670397949218753,20.107342372228516,10.341113287628545,136.5011966228485
Bakery and cereal products (excluding baby food),2022,DeepAR,18.92846094767253,20.2365907353095,10.494097007860887,136.5011966228485
Bakery and cereal products (excluding baby food),2022,SimpleFeedForward,20.327583821614585,21.502348061942786,11.285752455163161,136.5011966228485
Bakery and cereal products (excluding baby food),2022,WeightedEnsemble,19.128334168025436,20.415966861904337,10.60718980777036,136.5011966228485
Bakery and cereal products (excluding baby food),2023,AutoETS,11.981314658004964,12.226789545175022,6.083763383402033,100.61282110214233
Bakery and cereal products (excluding baby food),2023,Chronos[autogluon__chronos-t5-small],10.22142499287923,10.47532336880304,5.189523790474667,100.61282110214233
Bakery and cereal products (excluding baby food),2023,TemporalFusionTransformer,26.20299173990885,26.31083066241407,13.327016264161088,100.61282110214233
Bakery and cereal products (excluding baby food),2023,DeepAR,27.340534464518225,27.476450373772735,13.903674419304291,100.61282110214233
Bakery and cereal products (excluding baby food),2023,SimpleFeedForward,16.418040211995443,16.563760364845887,8.362694272078073,100.61282110214233
Bakery and cereal products (excluding baby food),2023,WeightedEnsemble,16.418040211995443,16.563760364845887,8.362694272078073,100.61282110214233
Bakery and cereal products (excluding baby food),2024,AutoETS,2.4008125399923776,2.5846061187484346,1.2139007513809281,145.99338936805725
Bakery and cereal products (excluding baby food),2024,Chronos[autogluon__chronos-t5-small],8.86643040974935,9.15050847338331,4.4757698313178595,145.99338936805725
Bakery and cereal products (excluding baby food),2024,TemporalFusionTransformer,15.368854014078778,15.678030134286113,7.758195490673338,145.99338936805725
Bakery and cereal products (excluding baby food),2024,DeepAR,7.433249918619794,7.524689867001113,3.7541123405222856,145.99338936805725
Bakery and cereal products (excluding baby food),2024,SimpleFeedForward,8.450664011637372,9.348356081056933,4.267581425627787,145.99338936805725
Bakery and cereal products (excluding baby food),2024,WeightedEnsemble,7.433249918619794,7.524689867001113,3.7541123405222856,145.99338936805725
Bakery and cereal products (excluding baby food),2025,AutoETS,1.8565185811573528,1.9946217933890968,0.9337225552621495,156.25707173347473
Bakery and cereal products (excluding baby food),2025,Chronos[autogluon__chronos-t5-small],1.1641416549682617,1.5067691957316673,0.5829435843054396,156.25707173347473
Bakery and cereal products (excluding baby food),2025,TemporalFusionTransformer,4.20416259765625,4.636011591762675,2.1134708896022127,156.25707173347473
Bakery and cereal products (excluding baby food),2025,DeepAR,1.8866569519042997,2.5242589656310312,0.9423393918582681,156.25707173347473
Bakery and cereal products (excluding baby food),2025,SimpleFeedForward,7.222656631469725,7.420204111020889,3.63266438550123,156.25707173347473
Bakery and cereal products (excluding baby food),2025,WeightedEnsemble,1.357954441146287,1.6373729057562654,0.6816609248856925,156.25707173347473
Dairy products and eggs,2021,AutoETS,2.058853225800412,2.3107173785095143,1.405531340219638,114.30778551101685
Dairy products and eggs,2021,Chronos[autogluon__chronos-t5-small],1.287313461303711,1.5714686226322363,0.8811082944752955,114.30778551101685
Dairy products and eggs,2021,TemporalFusionTransformer,0.9370419820149749,1.07741253273607,0.645342168361165,114.30778551101685
Dairy products and eggs,2021,DeepAR,2.751138432820639,3.0063652379390375,1.8776173104330374,114.30778551101685
Dairy products and eggs,2021,SimpleFeedForward,1.4421002705891937,1.6582009431842344,0.9865254183933475,114.30778551101685
Dairy products and eggs,2021,WeightedEnsemble,0.9370419820149749,1.07741253273607,0.645342168361165,114.30778551101685
Dairy products and eggs,2022,AutoETS,8.845845814251897,9.516386306161689,5.516985654021792,123.79176330566406
Dairy products and eggs,2022,Chronos[autogluon__chronos-t5-small],8.447704569498699,9.116344509620617,5.267651784029879,123.79176330566406
Dairy products and eggs,2022,TemporalFusionTransformer,7.824053700764975,8.374616677111046,4.881969990804244,123.79176330566406
Dairy products and eggs,2022,DeepAR,10.520546849568687,11.202709242844172,6.567149947434507,123.79176330566406
Dairy products and eggs,2022,SimpleFeedForward,9.101811981201173,9.790338449958712,5.67664700461904,123.79176330566406
Dairy products and eggs,2022,WeightedEnsemble,9.423516411567809,10.127092177999637,5.877735790335023,123.79176330566406
Dairy products and eggs,2023,AutoETS,7.704881521103178,7.774039954745753,4.555170388708629,171.39194440841675
Dairy products and eggs,2023,Chronos[autogluon__chronos-t5-small],6.324614715576172,6.386200032411159,3.740123282184239,171.39194440841675
Dairy products and eggs,2023,TemporalFusionTransformer,4.338032277425131,4.841749553323581,2.5658300780555807,171.39194440841675
Dairy products and eggs,2023,DeepAR,4.775546900431316,4.870931315157641,2.8232730144606215,171.39194440841675
Dairy products and eggs,2023,SimpleFeedForward,7.157445780436198,7.309726104482614,4.23118145767368,171.39194440841675
Dairy products and eggs,2023,WeightedEnsemble,4.338032277425131,4.841749553323581,2.5658300780555807,171.39194440841675
Dairy products and eggs,2024,AutoETS,2.0602914129963352,2.41365933363251,1.1847589928236426,121.74145841598511
Dairy products and eggs,2024,Chronos[autogluon__chronos-t5-small],2.490464528401693,2.885600491187682,1.4333027103779867,121.74145841598511
Dairy products and eggs,2024,TemporalFusionTransformer,8.394664510091147,8.623313455197417,4.850383139714079,121.74145841598511
Dairy products and eggs,2024,DeepAR,3.9530192057291678,4.1922514256198795,2.299501022601362,121.74145841598511
Dairy products and eggs,2024,SimpleFeedForward,2.9345781962076813,3.504971751022481,1.7013738348578107,121.74145841598511
Dairy products and eggs,2024,WeightedEnsemble,2.0602914129963352,2.41365933363251,1.1847589928236426,121.74145841598511
Dairy products and eggs,2025,AutoETS,0.6404840935301763,0.8385889997353666,0.3622143080237473,149.21719908714294
Dairy products and eggs,2025,Chronos[autogluon__chronos-t5-small],0.8341289520263686,1.0590414309543168,0.4728858961176057,149.21719908714294
Dairy products and eggs,2025,TemporalFusionTransformer,5.717130279541017,6.016776837443576,3.2394036007955025,149.21719908714294
Dairy products and eggs,2025,DeepAR,0.8076370239257784,0.9763159901636578,0.4576750220616509,149.21719908714294
Dairy products and eggs,2025,SimpleFeedForward,0.8003940582275391,1.0001530558954268,0.45404521224797384,149.21719908714294
Dairy products and eggs,2025,WeightedEnsemble,0.6404840935301763,0.8385889997353666,0.3622143080237473,149.21719908714294
"Fish, seafood and other marine products",2021,AutoETS,2.361187693445757,2.6530375036879597,1.6216964989970946,96.32219338417053
"Fish, seafood and other marine products",2021,Chronos[autogluon__chronos-t5-small],4.111914189656576,4.232816707607849,2.8134425619745658,96.32219338417053
"Fish, seafood and other marine products",2021,TemporalFusionTransformer,1.4591428120930985,1.6275440567914872,1.00115287170548,96.32219338417053
"Fish, seafood and other marine products",2021,DeepAR,2.519306055704753,2.8276174033791563,1.7286988443147453,96.32219338417053
"Fish, seafood and other marine products",2021,SimpleFeedForward,2.493374379475912,2.8318271672004474,1.7121049798609973,96.32219338417053
"Fish, seafood and other marine products",2021,WeightedEnsemble,2.5063402175903327,2.8174277403865955,1.720401912087871,96.32219338417053
"Fish, seafood and other marine products",2022,AutoETS,8.797701901530283,9.281394655533141,5.534790631743091,118.1016366481781
"Fish, seafood and other marine products",2022,Chronos[autogluon__chronos-t5-small],9.640364837646482,10.094195690895043,6.06860081766424,118.1016366481781
"Fish, seafood and other marine products",2022,TemporalFusionTransformer,9.803780110677081,10.349658540426525,6.167080729354104,118.1016366481781
"Fish, seafood and other marine products",2022,DeepAR,8.961449813842771,9.40407641363354,5.640874610665217,118.1016366481781
"Fish, seafood and other marine products",2022,SimpleFeedForward,10.35008799235026,10.880770311986742,6.513635795767262,118.1016366481781
"Fish, seafood and other marine products",2022,WeightedEnsemble,10.060858917236326,10.596248847001982,6.330160891096703,118.1016366481781
"Fish, seafood and other marine products",2023,AutoETS,2.6549249703178197,2.8960030199324747,1.6146711506623341,128.68765997886658
"Fish, seafood and other marine products",2023,Chronos[autogluon__chronos-t5-small],1.767018254597981,2.030851837645776,1.076521658891375,128.68765997886658
"Fish, seafood and other marine products",2023,TemporalFusionTransformer,7.112393188476564,7.271014002917079,4.329974928510143,128.68765997886658
"Fish, seafood and other marine products",2023,DeepAR,1.5682725270589184,2.1538948647359404,0.9631477505179558,128.68765997886658
"Fish, seafood and other marine products",2023,SimpleFeedForward,5.462609863281249,6.077672117313996,3.3424269778093296,128.68765997886658
"Fish, seafood and other marine products",2023,WeightedEnsemble,3.9667369630601663,4.565160751887665,2.4281648058104186,128.68765997886658
"Fish, seafood and other marine products",2024,AutoETS,5.660567430127183,5.81697622189029,3.503263527295989,103.44531178474426
"Fish, seafood and other marine products",2024,Chronos[autogluon__chronos-t5-small],6.369875590006511,6.560723019986143,3.942177756518005,103.44531178474426
"Fish, seafood and other marine products",2024,TemporalFusionTransformer,5.932468414306641,6.112101333256247,3.6717186948463474,103.44531178474426
"Fish, seafood and other marine products",2024,DeepAR,12.35226313273112,12.733015281403942,7.643117541590638,103.44531178474426
"Fish, seafood and other marine products",2024,SimpleFeedForward,10.674429575602213,10.771779750081729,6.603003348621904,103.44531178474426
"Fish, seafood and other marine products",2024,WeightedEnsemble,12.35226313273112,12.733015281403942,7.643117541590638,103.44531178474426
"Fish, seafood and other marine products",2025,AutoETS,1.5166100366211133,1.8558357190346895,0.9117168051033941,164.43722248077393
"Fish, seafood and other marine products",2025,Chronos[autogluon__chronos-t5-small],3.2525697708129933,3.662778056570164,1.9585684900321296,164.43722248077393
"Fish, seafood and other marine products",2025,TemporalFusionTransformer,4.758224868774409,4.809161984114139,2.8833043933647384,164.43722248077393
"Fish, seafood and other marine products",2025,DeepAR,1.3945030212402294,1.5950099406305493,0.8444441229466871,164.43722248077393
"Fish, seafood and other marine products",2025,SimpleFeedForward,3.1316570281982443,3.495376263034391,1.8871468456233653,164.43722248077393
"Fish, seafood and other marine products",2025,WeightedEnsemble,2.0132013875505237,2.301486523683592,1.2135221248223915,164.43722248077393
Food purchased from restaurants,2021,AutoETS,1.6284575708557132,2.0014573154985373,0.9793962950478645,107.86686992645264
Food purchased from restaurants,2021,Chronos[autogluon__chronos-t5-small],1.3232219696044918,1.6181258867694919,0.7961057453284496,107.86686992645264
Food purchased from restaurants,2021,TemporalFusionTransformer,0.7138727823893234,0.8842943148394838,0.4302706605385193,107.86686992645264
Food purchased from restaurants,2021,DeepAR,0.901986948649089,1.0050271649365394,0.5493061728473309,107.86686992645264
Food purchased from restaurants,2021,SimpleFeedForward,1.7242085774739568,1.9786337688957079,1.0390187343836133,107.86686992645264
Food purchased from restaurants,2021,WeightedEnsemble,1.0221018896777518,1.3983813963499476,0.613292991945268,107.86686992645264
Food purchased from restaurants,2022,AutoETS,7.388293213846552,7.9850985121114775,4.1638790820877025,173.2291157245636
Food purchased from restaurants,2022,Chronos[autogluon__chronos-t5-small],6.733663431803383,7.235736801218303,3.796431703326142,173.2291157245636
Food purchased from restaurants,2022,TemporalFusionTransformer,6.072573852539061,6.622976946792624,3.4204972151552595,173.2291157245636
