model,MAE,RMSE,MAPE,category,years_evaluated
AutoETS,7.151040546668336,7.55445147788773,3.845359146063552,Bakery and cereal products (excluding baby food),5
Chronos[autogluon__chronos-t5-small],8.32649814605713,8.895372457674785,4.45200940555135,Bakery and cereal products (excluding baby food),5
DeepAR,11.608345108032228,12.114240785899687,6.12894968371433,Bakery and cereal products (excluding baby food),5
SimpleFeedForward,11.272416152954102,11.801063031391815,6.0102478334961305,Bakery and cereal products (excluding baby food),5
TemporalFusionTransformer,13.311715393066407,13.830834685853597,6.975388416850471,Bakery and cereal products (excluding baby food),5
WeightedEnsemble,9.466657542797886,9.862741017461522,5.061471000912028,Bakery and cereal products (excluding baby food),5
AutoETS,4.2620712135364,4.570678394556966,2.6049321367594898,Dairy products and eggs,5
Chronos[autogluon__chronos-t5-small],3.8768452453613285,4.203731017361202,2.3590143934370014,Dairy products and eggs,5
DeepAR,4.561577682495118,4.849714642344877,2.8050432633982356,Dairy products and eggs,5
SimpleFeedForward,4.287266057332357,4.652678060908693,2.609954585558371,Dairy products and eggs,5
TemporalFusionTransformer,5.442184549967449,5.786773811162338,3.2365857955461146,Dairy products and eggs,5
WeightedEnsemble,3.479873235506885,3.8597005194854326,2.1271762675198316,Dairy products and eggs,5
AutoETS,4.198198406408432,4.500649424015711,2.6372277227603806,"Fish, seafood and other marine products",5
Chronos[autogluon__chronos-t5-small],5.028348528544109,5.316273062540995,3.1718622570160635,"Fish, seafood and other marine products",5
DeepAR,5.359158910115558,5.742722780756625,3.3640565740070487,"Fish, seafood and other marine products",5
SimpleFeedForward,6.422431767781575,6.811485121923461,4.011663589536572,"Fish, seafood and other marine products",5
TemporalFusionTransformer,5.813201878865558,6.033895983501095,3.6106463235561628,"Fish, seafood and other marine products",5
WeightedEnsemble,6.179880123633693,6.602667828872756,3.8670734550816044,"Fish, seafood and other marine products",5
AutoETS,4.7160064391995995,5.796954208685552,2.5660424581718213,Food purchased from restaurants,5
Chronos[autogluon__chronos-t5-small],3.9888050333658844,4.903612669262385,2.167616661559536,Food purchased from restaurants,5
DeepAR,6.203575083414711,6.677560322964202,3.323719728761771,Food purchased from restaurants,5
SimpleFeedForward,4.521686960856118,5.5031382827082505,2.456102783986818,Food purchased from restaurants,5
TemporalFusionTransformer,3.4817813364664696,4.490631809645469,1.9005968554424821,Food purchased from restaurants,5
WeightedEnsemble,4.341318046931371,5.28217179775456,2.348062930630094,Food purchased from restaurants,5
AutoETS,4.942175711472642,5.473222978229655,2.7826928688158263,Food,5
Chronos[autogluon__chronos-t5-small],4.711690826416016,5.161721986792741,2.6539545764078953,Food,5
DeepAR,10.463023071289063,10.800085588308852,5.665705409951909,Food,5
SimpleFeedForward,5.735547129313151,6.06466704508174,3.189049889780215,Food,5
TemporalFusionTransformer,5.920251642862955,6.35520448572113,3.315257025467514,Food,5
WeightedEnsemble,5.476408036003424,5.961030673819417,3.07031584046262,Food,5
AutoETS,5.934478214811283,6.400775175787345,3.661085636319922,"Fruit, fruit preparations and nuts",5
Chronos[autogluon__chronos-t5-small],4.7355978902180995,5.171775696322859,2.923978778855235,"Fruit, fruit preparations and nuts",5
DeepAR,4.427396494547527,4.897737565629454,2.7380886906927735,"Fruit, fruit preparations and nuts",5
SimpleFeedForward,5.628968124389649,6.028296845232365,3.4707071143355863,"Fruit, fruit preparations and nuts",5
TemporalFusionTransformer,9.06063504536947,9.426329521973145,5.510828197070306,"Fruit, fruit preparations and nuts",5
WeightedEnsemble,5.537657621950229,5.857275674699936,3.387798452217774,"Fruit, fruit preparations and nuts",5
AutoETS,5.59712566475727,6.28826806087781,2.8244019176282684,Meat,5
Chronos[autogluon__chronos-t5-small],5.919823430379234,6.706421662927698,2.962570203182293,Meat,5
DeepAR,5.155220006306967,5.667863022339015,2.633593247891141,Meat,5
SimpleFeedForward,6.879506912231446,7.461173791074238,3.480457197847959,Meat,5
TemporalFusionTransformer,6.641999435424805,7.474848139931444,3.271646705772265,Meat,5
WeightedEnsemble,5.23510644002779,5.964676048644948,2.673272714255204,Meat,5
AutoETS,5.836564061723275,6.250960722439612,3.5953979839719934,Other food products and non-alcoholic beverages,5
Chronos[autogluon__chronos-t5-small],6.873045234680174,7.280527822597271,4.203421033757782,Other food products and non-alcoholic beverages,5
DeepAR,12.028561363220215,12.646390834363828,6.961042853425452,Other food products and non-alcoholic beverages,5
SimpleFeedForward,7.01090337117513,7.401864453552685,4.241362836058701,Other food products and non-alcoholic beverages,5
TemporalFusionTransformer,6.32442418416341,6.830978220841833,3.841335337275409,Other food products and non-alcoholic beverages,5
WeightedEnsemble,7.636963450155238,8.03104832398829,4.625897907652364,Other food products and non-alcoholic beverages,5
AutoETS,9.543939748253264,10.591933951373253,5.366465279686816,Vegetables and vegetable preparations,5
Chronos[autogluon__chronos-t5-small],6.256684570312501,7.15784156691503,3.636242052775424,Vegetables and vegetable preparations,5
DeepAR,4.2773182042439775,5.2713083453515726,2.3889356963562385,Vegetables and vegetable preparations,5
SimpleFeedForward,7.684971567789712,8.709026986893736,4.355821020514832,Vegetables and vegetable preparations,5
TemporalFusionTransformer,9.930019098917642,11.414184046169,5.5714067834717635,Vegetables and vegetable preparations,5
WeightedEnsemble,6.2963523706303555,7.4837259329720975,3.605469558473607,Vegetables and vegetable preparations,5
