STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
GEM,M,3,SNOW WC,19970401 0000,19970324 0000,46.10,,INCHES
GEM,M,3,SNOW WC,19970501 0000,19970501 0000,---, ,INCHES
GEM,M,3,SNOW WC,19970601 0000,19970601 0000,---, ,INCHES
GEM,M,3,SNOW WC,19970701 0000,19970701 0000,---, ,INCHES
GEM,M,3,SNOW WC,19980101 0000,19980101 0000,---, ,INCHES
GEM,M,3,SNOW WC,19980201 0000,19980201 0000,---, ,INCHES
GEM,M,3,SNOW WC,19980301 0000,19980302 0000,44.90,,INCHES
GEM,M,3,SNOW WC,19980401 0000,19980330 0000,49.20,,INCHES
GEM,M,3,SNOW WC,19980501 0000,19980501 0000,---, ,INCHES
GEM,M,3,SNOW WC,19980601 0000,19980601 0000,---, ,INCHES
GEM,M,3,SNOW WC,19980701 0000,19980701 0000,---, ,INCHES
GEM,M,3,SNOW WC,19981001 0000,19981001 0000,---, ,INCHES
GEM,M,3,SNOW WC,19981101 0000,19981101 0000,---, ,INCHES
GEM,M,3,SNOW WC,19981201 0000,19981201 0000,---, ,INCHES
GEM,M,3,SNOW WC,19990101 0000,19990101 0000,---, ,INCHES
GEM,M,3,SNOW WC,19990201 0000,19990128 0000,19.90, ,INCHES
GEM,M,3,SNOW WC,19990301 0000,19990222 0000,30.10, ,INCHES
GEM,M,3,SNOW WC,19990401 0000,19990401 0000,---, ,INCHES
GEM,M,3,SNOW WC,19990501 0000,19990501 0000,---, ,INCHES
GEM,M,3,SNOW WC,19990601 0000,19990601 0000,---, ,INCHES
GEM,M,3,SNOW WC,19990701 0000,19990701 0000,---, ,INCHES
GEM,M,3,SNOW WC,19990801 0000,19990801 0000,---, ,INCHES
GEM,M,3,SNOW WC,19990901 0000,19990901 0000,---, ,INCHES
GEM,M,3,SNOW WC,19991001 0000,19991001 0000,---, ,INCHES
GEM,M,3,SNOW WC,19991101 0000,19991101 0000,---, ,INCHES
GEM,M,3,SNOW WC,19991201 0000,19991201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20000101 0000,20000101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20000201 0000,20000126 0000,15.45, ,INCHES
GEM,M,3,SNOW WC,20000301 0000,20000301 0000,34.90, ,INCHES
GEM,M,3,SNOW WC,20000401 0000,20000327 0000,35.30, ,INCHES
GEM,M,3,SNOW WC,20000501 0000,20000501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20000601 0000,20000601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20000701 0000,20000701 0000,---, ,INCHES
GEM,M,3,SNOW WC,20000801 0000,20000801 0000,---, ,INCHES
