Category: All categories,
,
Month,loan: (Canada)
2004-01,48
2004-02,51
2004-03,55
2004-04,47
2004-05,50
2004-06,63
2004-07,71
2004-08,78
2004-09,61
2004-10,54
2004-11,49
2004-12,45
2005-01,47
2005-02,51
2005-03,52
2005-04,50
2005-05,51
2005-06,66
2005-07,67
2005-08,77
2005-09,58
2005-10,47
2005-11,46
2005-12,42
2006-01,53
2006-02,52
2006-03,52
2006-04,53
2006-05,55
2006-06,60
2006-07,63
2006-08,71
2006-09,56
2006-10,49
2006-11,47
2006-12,43
2007-01,55
2007-02,52
2007-03,49
2007-04,51
2007-05,52
2007-06,53
2007-07,62
2007-08,66
2007-09,56
2007-10,47
2007-11,45
2007-12,41
2008-01,49
2008-02,50
2008-03,46
2008-04,47
2008-05,48
2008-06,51
2008-07,59
2008-08,58
2008-09,56
2008-10,44
2008-11,46
2008-12,42
2009-01,49
2009-02,49
2009-03,50
2009-04,50
2009-05,53
2009-06,64
2009-07,69
2009-08,70
2009-09,60
2009-10,49
2009-11,53
2009-12,46
2010-01,59
2010-02,54
2010-03,57
2010-04,55
2010-05,55
2010-06,62
2010-07,65
2010-08,68
2010-09,59
2010-10,51
2010-11,49
2010-12,45
2011-01,50
2011-02,46
2011-03,46
2011-04,45
2011-05,45
2011-06,51
2011-07,53
2011-08,56
2011-09,51
2011-10,44
2011-11,43
2011-12,38
2012-01,47
2012-02,45
2012-03,47
2012-04,46
2012-05,45
2012-06,51
2012-07,54
2012-08,55
2012-09,52
2012-10,45
2012-11,43
2012-12,41
2013-01,55
2013-02,50
2013-03,47
2013-04,51
2013-05,47
2013-06,49
2013-07,55
2013-08,55
2013-09,53
2013-10,46
2013-11,42
2013-12,40
2014-01,52
2014-02,47
2014-03,52
2014-04,52
2014-05,52
2014-06,53
2014-07,57
2014-08,57
2014-09,58
2014-10,48
2014-11,46
2014-12,44
2015-01,59
2015-02,58
2015-03,61
2015-04,62
2015-05,54
2015-06,58
2015-07,67
2015-08,62
2015-09,61
2015-10,54
2015-11,54
2015-12,49
2016-01,60
2016-02,61
2016-03,60
2016-04,59
2016-05,56
2016-06,59
2016-07,61
2016-08,63
2016-09,63
2016-10,58
2016-11,60
2016-12,51
2017-01,64
2017-02,65
2017-03,68
2017-04,66
2017-05,65
2017-06,64
2017-07,66
2017-08,69
2017-09,66
2017-10,59
2017-11,57
2017-12,51
2018-01,67
2018-02,69
2018-03,70
2018-04,69
2018-05,66
2018-06,63
2018-07,70
2018-08,73
2018-09,68
2018-10,63
2018-11,60
2018-12,54
2019-01,68
2019-02,69
2019-03,74
2019-04,82
2019-05,69
2019-06,70
2019-07,74
2019-08,79
2019-09,81
2019-10,70
2019-11,67
2019-12,70
2020-01,83
2020-02,77
2020-03,94
2020-04,100
2020-05,84
2020-06,87
2020-07,86
2020-08,86
2020-09,86
2020-10,85
2020-11,77
2020-12,79
2021-01,80
2021-02,78
2021-03,81
2021-04,71
2021-05,68
2021-06,66
2021-07,65
2021-08,68
2021-09,71
2021-10,62
2021-11,60
2021-12,59
2022-01,76
2022-02,80
2022-03,82
2022-04,77
2022-05,72
2022-06,74
2022-07,73
2022-08,88
2022-09,79
2022-10,72
2022-11,73
2022-12,67
2023-01,79
2023-02,78
2023-03,83
2023-04,88
2023-05,82
2023-06,91
2023-07,88
2023-08,87
2023-09,87
2023-10,78
2023-11,74
2023-12,85
2024-01,92
2024-02,82
2024-03,82
2024-04,80
2024-05,79
2024-06,80
2024-07,83
