Category: All categories,
,
Month,free meal: (Canada)
Jan-04,0
Feb-04,0
Mar-04,0
Apr-04,0
May-04,59
Jun-04,45
Jul-04,0
Aug-04,0
Sep-04,0
Oct-04,0
Nov-04,0
Dec-04,0
Jan-05,30
Feb-05,0
Mar-05,31
Apr-05,0
May-05,0
Jun-05,30
Jul-05,47
Aug-05,0
Sep-05,38
Oct-05,0
Nov-05,28
Dec-05,0
Jan-06,32
Feb-06,0
Mar-06,36
Apr-06,35
May-06,0
Jun-06,25
Jul-06,30
Aug-06,28
Sep-06,24
Oct-06,17
Nov-06,24
Dec-06,17
Jan-07,36
Feb-07,26
Mar-07,28
Apr-07,18
May-07,24
Jun-07,27
Jul-07,28
Aug-07,27
Sep-07,25
Oct-07,28
Nov-07,29
Dec-07,25
Jan-08,41
Feb-08,33
Mar-08,29
Apr-08,34
May-08,28
Jun-08,25
Jul-08,28
Aug-08,33
Sep-08,27
Oct-08,31
Nov-08,28
Dec-08,34
Jan-09,46
Feb-09,31
Mar-09,32
Apr-09,40
May-09,39
Jun-09,34
Jul-09,38
Aug-09,34
Sep-09,38
Oct-09,31
Nov-09,42
Dec-09,37
Jan-10,53
Feb-10,40
Mar-10,43
Apr-10,45
May-10,37
Jun-10,41
Jul-10,30
Aug-10,29
Sep-10,37
Oct-10,37
Nov-10,36
Dec-10,31
Jan-11,57
Feb-11,52
Mar-11,46
Apr-11,52
May-11,47
Jun-11,45
Jul-11,36
Aug-11,49
Sep-11,46
Oct-11,42
Nov-11,45
Dec-11,39
Jan-12,60
Feb-12,57
Mar-12,42
Apr-12,51
May-12,45
Jun-12,52
Jul-12,42
Aug-12,53
Sep-12,55
Oct-12,45
Nov-12,49
Dec-12,41
Jan-13,57
Feb-13,61
Mar-13,64
Apr-13,62
May-13,51
Jun-13,48
Jul-13,57
Aug-13,53
Sep-13,54
Oct-13,50
Nov-13,52
Dec-13,48
Jan-14,70
Feb-14,58
Mar-14,56
Apr-14,63
May-14,59
Jun-14,65
Jul-14,58
Aug-14,54
Sep-14,54
Oct-14,54
Nov-14,51
Dec-14,50
Jan-15,64
Feb-15,56
Mar-15,63
Apr-15,57
May-15,45
Jun-15,46
Jul-15,51
Aug-15,54
Sep-15,53
Oct-15,57
Nov-15,53
Dec-15,50
Jan-16,64
Feb-16,58
Mar-16,54
Apr-16,51
May-16,50
Jun-16,46
Jul-16,47
Aug-16,45
Sep-16,52
Oct-16,49
Nov-16,50
Dec-16,50
Jan-17,65
Feb-17,55
Mar-17,53
Apr-17,58
May-17,55
Jun-17,62
Jul-17,56
Aug-17,60
Sep-17,55
Oct-17,58
Nov-17,57
Dec-17,55
Jan-18,69
Feb-18,58
Mar-18,60
Apr-18,65
May-18,59
Jun-18,56
Jul-18,58
Aug-18,71
Sep-18,65
Oct-18,65
Nov-18,68
Dec-18,64
Jan-19,86
Feb-19,69
Mar-19,71
Apr-19,69
May-19,64
Jun-19,74
Jul-19,81
Aug-19,70
Sep-19,66
Oct-19,69
Nov-19,68
Dec-19,69
Jan-20,100
Feb-20,79
Mar-20,68
Apr-20,69
May-20,68
Jun-20,55
Jul-20,64
Aug-20,63
Sep-20,58
Oct-20,50
Nov-20,49
Dec-20,52
Jan-21,72
Feb-21,64
Mar-21,61
Apr-21,54
May-21,59
Jun-21,54
Jul-21,51
Aug-21,52
Sep-21,48
Oct-21,52
Nov-21,52
Dec-21,43
Jan-22,70
Feb-22,58
Mar-22,64
Apr-22,59
May-22,49
Jun-22,51
Jul-22,59
Aug-22,65
Sep-22,60
Oct-22,54
Nov-22,51
Dec-22,52
Jan-23,74
Feb-23,68
Mar-23,65
Apr-23,63
May-23,60
Jun-23,54
Jul-23,58
Aug-23,59
Sep-23,62
Oct-23,58
Nov-23,60
Dec-23,59
Jan-24,70
Feb-24,67
Mar-24,61
Apr-24,59
May-24,61
Jun-24,63
Jul-24,71
