DATE,PCU482111482111
1969-01-01,26.6
1969-02-01,26.6
1969-03-01,26.6
1969-04-01,26.6
1969-05-01,26.6
1969-06-01,26.6
1969-07-01,26.6
1969-08-01,26.6
1969-09-01,26.6
1969-10-01,26.6
1969-11-01,26.6
1969-12-01,28.1
1970-01-01,28.1
1970-02-01,28.1
1970-03-01,28.1
1970-04-01,28.1
1970-05-01,28.1
1970-06-01,29.4
1970-07-01,29.4
1970-08-01,29.4
1970-09-01,29.4
1970-10-01,29.4
1970-11-01,29.4
1970-12-01,31.8
1971-01-01,31.8
1971-02-01,31.9
1971-03-01,31.9
1971-04-01,33.0
1971-05-01,33.0
1971-06-01,33.0
1971-07-01,33.0
1971-08-01,33.0
1971-09-01,33.0
1971-10-01,33.0
1971-11-01,33.0
1971-12-01,32.9
1972-01-01,32.9
1972-02-01,33.6
1972-03-01,33.6
1972-04-01,33.7
1972-05-01,33.7
1972-06-01,33.7
1972-07-01,33.7
1972-08-01,33.7
1972-09-01,33.7
1972-10-01,33.6
1972-11-01,34.0
1972-12-01,34.0
1973-01-01,34.0
1973-02-01,34.0
1973-03-01,34.0
1973-04-01,34.0
1973-05-01,34.0
1973-06-01,34.0
1973-07-01,34.1
1973-08-01,34.1
1973-09-01,35.0
1973-10-01,35.7
1973-11-01,35.7
1973-12-01,35.7
1974-01-01,36.0
1974-02-01,36.7
1974-03-01,38.2
1974-04-01,38.5
1974-05-01,38.5
1974-06-01,38.7
1974-07-01,42.1
1974-08-01,42.1
1974-09-01,42.2
1974-10-01,42.2
1974-11-01,42.2
1974-12-01,42.3
1975-01-01,42.3
1975-02-01,42.3
1975-03-01,42.3
1975-04-01,42.3
1975-05-01,44.3
1975-06-01,44.3
1975-07-01,46.8
1975-08-01,46.9
1975-09-01,46.9
1975-10-01,48.1
1975-11-01,48.3
1975-12-01,48.3
1976-01-01,48.3
1976-02-01,48.4
1976-03-01,48.4
1976-04-01,49.5
1976-05-01,50.0
1976-06-01,50.0
1976-07-01,50.0
1976-08-01,50.1
1976-09-01,50.1
1976-10-01,51.0
1976-11-01,51.0
1976-12-01,51.2
1977-01-01,52.9
1977-02-01,52.9
1977-03-01,52.9
1977-04-01,53.0
1977-05-01,52.9
1977-06-01,52.9
1977-07-01,53.0
1977-08-01,53.0
1977-09-01,53.0
1977-10-01,53.0
1977-11-01,53.0
1977-12-01,55.4
1978-01-01,55.4
1978-02-01,55.4
1978-03-01,55.5
1978-04-01,55.5
1978-05-01,55.5
1978-06-01,55.6
1978-07-01,57.5
1978-08-01,57.6
1978-09-01,57.6
1978-10-01,57.6
1978-11-01,57.8
1978-12-01,61.7
1979-01-01,62.0
1979-02-01,62.0
1979-03-01,62.2
1979-04-01,62.4
1979-05-01,62.4
1979-06-01,63.2
1979-07-01,64.1
1979-08-01,64.8
1979-09-01,65.6
1979-10-01,70.2
1979-11-01,70.3
1979-12-01,70.4
1980-01-01,70.4
1980-02-01,71.2
1980-03-01,71.6
1980-04-01,74.4
1980-05-01,74.4
1980-06-01,75.1
1980-07-01,77.5
1980-08-01,77.7
1980-09-01,79.5
1980-10-01,79.6
1980-11-01,79.8
1980-12-01,80.1
1981-01-01,83.8
1981-02-01,84.7
1981-03-01,85.7
1981-04-01,85.6
1981-05-01,85.8
1981-06-01,86.5
1981-07-01,88.8
1981-08-01,88.9
1981-09-01,88.9
1981-10-01,90.1
1981-11-01,90.1
1981-12-01,90.1
1982-01-01,93.4
1982-02-01,93.5
1982-03-01,93.5
1982-04-01,93.7
1982-05-01,93.7
1982-06-01,93.7
1982-07-01,93.9
1982-08-01,93.9
1982-09-01,93.9
1982-10-01,93.9
1982-11-01,93.9
1982-12-01,93.9
1983-01-01,94.8
1983-02-01,94.8
1983-03-01,94.8
1983-04-01,94.8
1983-05-01,94.8
1983-06-01,94.8
1983-07-01,94.9
1983-08-01,94.9
1983-09-01,94.9
1983-10-01,95.3
1983-11-01,95.3
1983-12-01,95.3
1984-01-01,98.9
1984-02-01,98.9
1984-03-01,99.0
1984-04-01,99.0
1984-05-01,99.0
1984-06-01,99.0
1984-07-01,99.4
1984-08-01,99.4
1984-09-01,99.4
1984-10-01,99.9
1984-11-01,99.9
1984-12-01,100.0
1985-01-01,100.0
1985-02-01,100.0
1985-03-01,100.0
1985-04-01,100.0
1985-05-01,100.0
1985-06-01,99.9
1985-07-01,99.8
1985-08-01,99.8
1985-09-01,100.0
1985-10-01,99.9
1985-11-01,100.0
1985-12-01,99.9
1986-01-01,101.0
1986-02-01,101.0
1986-03-01,101.0
1986-04-01,101.0
1986-05-01,100.8
1986-06-01,100.9
1986-07-01,100.8
1986-08-01,100.7
1986-09-01,100.6
1986-10-01,100.4
1986-11-01,100.5
1986-12-01,99.8
1987-01-01,99.8
1987-02-01,99.8
1987-03-01,99.8
1987-04-01,100.1
1987-05-01,100.2
1987-06-01,100.2
1987-07-01,100.1
1987-08-01,100.3
1987-09-01,100.1
1987-10-01,100.2
1987-11-01,100.2
1987-12-01,100.1
1988-01-01,103.2
1988-02-01,103.2
1988-03-01,103.2
1988-04-01,105.2
1988-05-01,105.2
1988-06-01,104.9
1988-07-01,105.2
1988-08-01,105.4
1988-09-01,105.4
1988-10-01,105.4
1988-11-01,105.4
1988-12-01,105.4
1989-01-01,105.8
1989-02-01,105.9
1989-03-01,105.9
1989-04-01,106.0
1989-05-01,106.0
1989-06-01,106.3
1989-07-01,106.9
1989-08-01,106.8
1989-09-01,106.8
1989-10-01,106.8
1989-11-01,106.9
1989-12-01,106.9
1990-01-01,107.1
1990-02-01,107.1
1990-03-01,107.1
1990-04-01,107.1
1990-05-01,107.1
1990-06-01,107.1
1990-07-01,107.1
1990-08-01,107.3
1990-09-01,107.3
1990-10-01,108.3
1990-11-01,108.5
1990-12-01,108.5
1991-01-01,108.6
1991-02-01,108.9
1991-03-01,109.5
1991-04-01,109.5
1991-05-01,109.6
1991-06-01,109.5
1991-07-01,109.6
1991-08-01,109.3
1991-09-01,109.2
1991-10-01,109.3
1991-11-01,109.3
1991-12-01,109.3
1992-01-01,109.5
1992-02-01,109.9
1992-03-01,109.9
1992-04-01,110.0
1992-05-01,110.0
1992-06-01,110.0
1992-07-01,109.8
1992-08-01,109.9
1992-09-01,109.9
1992-10-01,110.1
1992-11-01,110.1
1992-12-01,110.3
1993-01-01,110.5
1993-02-01,110.5
1993-03-01,110.6
1993-04-01,110.6
1993-05-01,110.7
1993-06-01,110.8
1993-07-01,110.9
1993-08-01,110.9
1993-09-01,110.9
1993-10-01,111.2
1993-11-01,111.3
1993-12-01,111.3
1994-01-01,111.6
1994-02-01,111.7
1994-03-01,112.0
1994-04-01,112.0
1994-05-01,112.0
1994-06-01,112.0
1994-07-01,111.9
1994-08-01,111.9
1994-09-01,111.7
1994-10-01,111.8
1994-11-01,111.8
1994-12-01,111.8
1995-01-01,112.0
1995-02-01,111.7
1995-03-01,111.8
1995-04-01,111.8
1995-05-01,111.9
1995-06-01,111.8
1995-07-01,111.5
1995-08-01,111.7
1995-09-01,111.7
1995-10-01,111.7
1995-11-01,111.6
1995-12-01,111.5
1996-01-01,111.4
1996-02-01,111.5
1996-03-01,111.5
1996-04-01,111.5
1996-05-01,111.4
1996-06-01,111.3
1996-07-01,111.4
1996-08-01,111.4
1996-09-01,111.4
1996-10-01,111.7
1996-11-01,111.5
1996-12-01,111.5
1997-01-01,111.4
1997-02-01,111.5
1997-03-01,111.6
