STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
BSH,M,3,SNOW WC,19860201 0000,19860128 0000,18.20,,INCHES
BSH,M,3,SNOW WC,19860301 0000,19860226 0000,52.30,,INCHES
BSH,M,3,SNOW WC,19860401 0000,19860327 0000,62.20,,INCHES
BSH,M,3,SNOW WC,19860501 0000,19860429 0000,62.00,,INCHES
BSH,M,3,SNOW WC,19870201 0000,19870130 0000,7.00,,INCHES
BSH,M,3,SNOW WC,19870301 0000,19870227 0000,13.50,,INCHES
BSH,M,3,SNOW WC,19870401 0000,19870331 0000,18.50,,INCHES
BSH,M,3,SNOW WC,19870501 0000,19870429 0000,14.80,,INCHES
BSH,M,3,SNOW WC,19880201 0000,19880201 0000,16.90,,INCHES
BSH,M,3,SNOW WC,19880301 0000,19880225 0000,18.30,,INCHES
BSH,M,3,SNOW WC,19880401 0000,19880325 0000,19.30,,INCHES
BSH,M,3,SNOW WC,19880501 0000,19880504 0000,17.60,,INCHES
BSH,M,3,SNOW WC,19890201 0000,19890131 0000,11.90,,INCHES
BSH,M,3,SNOW WC,19890301 0000,19890306 0000,21.10,,INCHES
BSH,M,3,SNOW WC,19890401 0000,19890329 0000,22.70,,INCHES
BSH,M,3,SNOW WC,19890501 0000,19890501 0000,17.60,,INCHES
BSH,M,3,SNOW WC,19900101 0000,19900101 0000,---, ,INCHES
BSH,M,3,SNOW WC,19900201 0000,19900131 0000,8.60,,INCHES
BSH,M,3,SNOW WC,19900301 0000,19900223 0000,15.20,,INCHES
BSH,M,3,SNOW WC,19900401 0000,19900401 0000,17.00,,INCHES
BSH,M,3,SNOW WC,19900501 0000,19900427 0000,18.00,,INCHES
BSH,M,3,SNOW WC,19900601 0000,19900601 0000,---, ,INCHES
BSH,M,3,SNOW WC,19900701 0000,19900701 0000,---, ,INCHES
BSH,M,3,SNOW WC,19910101 0000,19910101 0000,---, ,INCHES
BSH,M,3,SNOW WC,19910201 0000,19910126 0000,4.00,,INCHES
BSH,M,3,SNOW WC,19910301 0000,19910301 0000,---, ,INCHES
BSH,M,3,SNOW WC,19910401 0000,19910402 0000,25.50,,INCHES
BSH,M,3,SNOW WC,19910501 0000,19910429 0000,26.60,,INCHES
BSH,M,3,SNOW WC,19910601 0000,19910601 0000,---, ,INCHES
BSH,M,3,SNOW WC,19910701 0000,19910701 0000,---, ,INCHES
BSH,M,3,SNOW WC,19920101 0000,19920101 0000,---, ,INCHES
BSH,M,3,SNOW WC,19920201 0000,19920131 0000,6.90,,INCHES
BSH,M,3,SNOW WC,19920301 0000,19920225 0000,13.00,,INCHES
BSH,M,3,SNOW WC,19920401 0000,19920326 0000,17.40,,INCHES
BSH,M,3,SNOW WC,19920501 0000,19920427 0000,15.80,,INCHES
BSH,M,3,SNOW WC,19920601 0000,19920601 0000,---, ,INCHES
BSH,M,3,SNOW WC,19920701 0000,19920701 0000,---, ,INCHES
BSH,M,3,SNOW WC,19930101 0000,19930101 0000,---, ,INCHES
BSH,M,3,SNOW WC,19930201 0000,19930126 0000,33.20,,INCHES
BSH,M,3,SNOW WC,19930301 0000,19930303 0000,47.30,,INCHES
BSH,M,3,SNOW WC,19930401 0000,19930327 0000,49.00,,INCHES
BSH,M,3,SNOW WC,19930501 0000,19930427 0000,61.40,,INCHES
BSH,M,3,SNOW WC,19930601 0000,19930601 0000,---, ,INCHES
BSH,M,3,SNOW WC,19930701 0000,19930701 0000,---, ,INCHES
BSH,M,3,SNOW WC,19940101 0000,19940101 0000,---, ,INCHES
BSH,M,3,SNOW WC,19940201 0000,19940126 0000,9.10,,INCHES
BSH,M,3,SNOW WC,19940301 0000,19940303 0000,18.90,,INCHES
BSH,M,3,SNOW WC,19940401 0000,19940401 0000,22.60,,INCHES
BSH,M,3,SNOW WC,19940501 0000,19940426 0000,23.00,,INCHES
BSH,M,3,SNOW WC,19940601 0000,19940601 0000,---, ,INCHES
BSH,M,3,SNOW WC,19940701 0000,19940701 0000,---, ,INCHES
BSH,M,3,SNOW WC,19950101 0000,19950101 0000,---, ,INCHES
BSH,M,3,SNOW WC,19950201 0000,19950125 0000,30.90,,INCHES
BSH,M,3,SNOW WC,19950301 0000,19950227 0000,34.60,,INCHES
BSH,M,3,SNOW WC,19950401 0000,19950326 0000,69.00,,INCHES
BSH,M,3,SNOW WC,19950501 0000,19950429 0000,57.00,,INCHES
