"Consumer Price Index, monthly, not seasonally adjusted 1 2 3"
"Frequency: Monthly"
"Table: 18-10-0004-01 (formerly CANSIM 326-0020)"
"Release date: 2024-07-16"
"Geography: Canada, Province or territory, Census subdivision, Census metropolitan area, Census metropolitan area part"
""
""

"Geography","Canada"
"Products and product groups 3 4","Energy 5"
"Reference period"
,"2002=100"
"January 1986","69.4"
"February 1986","69.4"
"March 1986","67.1"
"April 1986","62.6"
"May 1986","61.0"
"June 1986","60.8"
"July 1986","60.6"
"August 1986","60.4"
"September 1986","59.6"
"October 1986","59.1"
"November 1986","59.7"
"December 1986","59.9"
"January 1987","60.7"
"February 1987","62.0"
"March 1987","63.2"
"April 1987","63.6"
"May 1987","63.7"
"June 1987","64.4"
"July 1987","64.7"
"August 1987","65.0"
"September 1987","65.5"
"October 1987","65.3"
"November 1987","65.5"
"December 1987","65.5"
"January 1988","65.5"
"February 1988","64.6"
"March 1988","64.1"
"April 1988","64.8"
"May 1988","65.4"
"June 1988","65.2"
"July 1988","65.3"
"August 1988","64.2"
"September 1988","64.3"
"October 1988","63.9"
"November 1988","63.3"
"December 1988","63.1"
"January 1989","63.6"
"February 1989","64.0"
"March 1989","64.4"
"April 1989","65.0"
"May 1989","67.5"
"June 1989","67.9"
"July 1989","68.1"
"August 1989","68.1"
"September 1989","68.0"
"October 1989","67.8"
"November 1989","68.1"
"December 1989","67.8"
"January 1990","69.4"
"February 1990","70.2"
"March 1990","70.8"
"April 1990","71.4"
"May 1990","72.2"
"June 1990","72.6"
"July 1990","72.4"
"August 1990","72.6"
"September 1990","73.4"
"October 1990","76.7"
"November 1990","79.3"
"December 1990","79.2"
"January 1991","82.6"
"February 1991","77.9"
"March 1991","75.4"
"April 1991","74.1"
"May 1991","76.3"
"June 1991","76.5"
"July 1991","77.5"
"August 1991","77.3"
"September 1991","77.8"
"October 1991","76.3"
"November 1991","76.3"
"December 1991","75.4"
"January 1992","77.6"
"February 1992","75.6"
"March 1992","75.1"
"April 1992","75.2"
"May 1992","76.3"
"June 1992","77.5"
"July 1992","79.0"
"August 1992","78.1"
"September 1992","77.6"
"October 1992","77.5"
"November 1992","78.3"
"December 1992","78.2"
"January 1993","78.6"
"February 1993","78.2"
"March 1993","77.6"
"April 1993","77.7"
"May 1993","78.2"
"June 1993","78.9"
"July 1993","78.6"
"August 1993","78.1"
"September 1993","78.4"
"October 1993","78.0"
"November 1993","78.0"
"December 1993","77.1"
"January 1994","76.4"
"February 1994","77.3"
"March 1994","77.5"
"April 1994","77.4"
"May 1994","78.1"
"June 1994","79.2"
"July 1994","79.9"
"August 1994","80.6"
"September 1994","79.8"
"October 1994","78.2"
"November 1994","79.5"
"December 1994","78.8"
"January 1995","78.5"
"February 1995","78.7"
"March 1995","79.2"
"April 1995","79.5"
"May 1995","81.3"
"June 1995","81.2"
"July 1995","80.6"
"August 1995","79.5"
"September 1995","79.7"
"October 1995","78.8"
"November 1995","78.5"
"December 1995","79.5"
"January 1996","79.5"
"February 1996","79.3"
"March 1996","80.6"
"April 1996","81.7"
"May 1996","84.3"
"June 1996","83.1"
"July 1996","81.0"
"August 1996","81.1"
"September 1996","81.7"
"October 1996","83.4"
"November 1996","83.3"
"December 1996","83.8"
"January 1997","84.4"
"February 1997","84.9"
"March 1997","84.5"
"April 1997","83.1"
"May 1997","83.2"
"June 1997","83.6"
"July 1997","82.9"
"August 1997","84.6"
"September 1997","84.9"
"October 1997","84.2"
"November 1997","83.2"
"December 1997","82.9"
"January 1998","82.3"
"February 1998","80.8"
"March 1998","79.9"
"April 1998","80.0"
"May 1998","81.2"
"June 1998","81.1"
"July 1998","80.4"
"August 1998","80.3"
"September 1998","79.1"
"October 1998","80.8"
"November 1998","80.3"
"December 1998","79.4"
"January 1999","79.5"
"February 1999","78.9"
"March 1999","80.0"
"April 1999","83.0"
"May 1999","83.6"
"June 1999","83.0"
"July 1999","84.8"
"August 1999","87.8"
"September 1999","89.0"
"October 1999","90.1"
"November 1999","89.3"
"December 1999","91.3"
"January 2000","91.5"
"February 2000","94.2"
"March 2000","97.9"
"April 2000","94.3"
"May 2000","95.4"
"June 2000","99.1"
"July 2000","99.9"
"August 2000","98.2"
"September 2000","102.5"
"October 2000","103.8"
"November 2000","105.4"
"December 2000","103.7"
"January 2001","101.0"
"February 2001","100.2"
"March 2001","101.5"
"April 2001","105.2"
"May 2001","110.7"
"June 2001","109.3"
"July 2001","102.7"
"August 2001","102.9"
"September 2001","105.7"
"October 2001","101.0"
"November 2001","92.2"
"December 2001","91.9"
"January 2002","94.0"
"February 2002","94.4"
"March 2002","98.1"
"April 2002","99.9"
"May 2002","99.1"
"June 2002","98.0"
"July 2002","99.5"
"August 2002","102.9"
"September 2002","103.9"
"October 2002","106.8"
"November 2002","105.1"
"December 2002","98.4"
"January 2003","108.3"
"February 2003","113.0"
"March 2003","115.3"
"April 2003","106.0"
"May 2003","103.7"
"June 2003","105.7"
"July 2003","106.2"
"August 2003","110.7"
"September 2003","110.6"
"October 2003","105.7"
"November 2003","104.4"
"December 2003","105.1"
"January 2004","107.1"
"February 2004","109.5"
"March 2004","110.6"
"April 2004","112.8"
"May 2004","120.5"
"June 2004","119.4"
"July 2004","117.5"
"August 2004","117.6"
"September 2004","117.0"
"October 2004","119.5"
"November 2004","117.1"
"December 2004","113.6"
"January 2005","115.0"
"February 2005","117.5"
"March 2005","121.0"
"April 2005","124.9"
"May 2005","122.5"
"June 2005","124.1"
"July 2005","128.3"
"August 2005","132.2"
"September 2005","142.1"
"October 2005","135.6"
"November 2005","127.4"
"December 2005","125.2"
"January 2006","132.7"
"February 2006","127.1"
"March 2006","130.0"
"April 2006","138.9"
"May 2006","139.8"
"June 2006","138.4"
"July 2006","142.0"
"August 2006","141.7"
"September 2006","128.8"
"October 2006","123.8"
"November 2006","123.8"
"December 2006","127.1"
"January 2007","125.2"
"February 2007","127.1"
"March 2007","135.9"
"April 2007","139.1"
"May 2007","142.0"
"June 2007","140.1"
"July 2007","139.6"
"August 2007","136.4"
"September 2007","136.6"
"October 2007","134.5"
"November 2007","136.5"
"December 2007","138.2"
"January 2008","139.0"
"February 2008","139.4"
"March 2008","143.2"
"April 2008","150.2"
"May 2008","158.4"
"June 2008","165.3"
"July 2008","169.1"
"August 2008","164.0"
"September 2008","161.5"
"October 2008","147.5"
"November 2008","130.7"
"December 2008","123.0"
"January 2009","123.8"
"February 2009","127.2"
"March 2009","127.1"
"April 2009","123.9"
"May 2009","129.4"
"June 2009","133.9"
"July 2009","129.6"
"August 2009","132.6"
"September 2009","131.3"
"October 2009","128.8"
"November 2009","132.4"
"December 2009","130.3"
"January 2010","133.9"
"February 2010","132.3"
"March 2010","134.5"
"April 2010","136.0"
"May 2010","137.4"
"June 2010","135.7"
"July 2010","139.8"
"August 2010","139.2"
"September 2010","138.7"
"October 2010","140.5"
"November 2010","141.3"
"December 2010","144.0"
"January 2011","146.0"
"February 2011","146.3"
"March 2011","151.7"
"April 2011","159.2"
"May 2011","160.2"
"June 2011","157.0"
"July 2011","157.9"
"August 2011","157.9"
"September 2011","156.0"
"October 2011","156.9"
"November 2011","154.1"
"December 2011","152.7"
"January 2012","155.5"
"February 2012","156.9"
"March 2012","159.5"
"April 2012","161.0"
"May 2012","157.7"
"June 2012","155.7"
"July 2012","156.0"
"August 2012","159.2"
"September 2012","160.6"
"October 2012","159.5"
"November 2012","153.8"
"December 2012","151.9"
"January 2013","152.8"
"February 2013","160.1"
"March 2013","159.9"
"April 2013","158.0"
"May 2013","159.3"
"June 2013","162.1"
"July 2013","164.2"
"August 2013","163.0"
"September 2013","163.0"
"October 2013","157.0"
"November 2013","157.4"
"December 2013","158.9"
"January 2014","160.2"
"February 2014","162.6"
"March 2014","167.2"
"April 2014","171.2"
"May 2014","172.7"
"June 2014","173.0"
"July 2014","171.9"
"August 2014","168.3"
"September 2014","167.4"
"October 2014","163.6"
"November 2014","156.5"
"December 2014","148.7"
"January 2015","139.5"
"February 2015","145.1"
"March 2015","149.8"
"April 2015","148.1"
"May 2015","152.4"
"June 2015","157.5"
"July 2015","159.2"
"August 2015","156.1"
"September 2015","149.3"
"October 2015","146.6"
"November 2015","146.5"
"December 2015","143.4"
"January 2016","139.0"
"February 2016","134.6"
"March 2016","138.1"
"April 2016","143.4"
"May 2016","146.9"
"June 2016","150.6"
"July 2016","147.4"
"August 2016","147.0"
"September 2016","147.3"
"October 2016","150.2"
"November 2016","146.8"
"December 2016","149.1"
"January 2017","155.8"
"February 2017","151.1"
"March 2017","149.8"
"April 2017","157.2"
"May 2017","151.8"
"June 2017","148.7"
"July 2017","147.8"
"August 2017","150.4"
"September 2017","154.5"
"October 2017","151.7"
"November 2017","157.9"
"December 2017","155.8"
"January 2018","159.5"
"February 2018","159.1"
"March 2018","161.0"
"April 2018","167.1"
"May 2018","169.4"
"June 2018","167.2"
"July 2018","168.8"
"August 2018","167.2"
"September 2018","166.3"
"October 2018","163.7"
"November 2018","155.8"
"December 2018","150.1"
"January 2019","148.5"
"February 2019","150.1"
"March 2019","159.1"
"April 2019","168.2"
"May 2019","169.2"
"June 2019","160.3"
"July 2019","163.4"
"August 2019","159.3"
"September 2019","158.7"
"October 2019","158.9"
"November 2019","158.1"
"December 2019","158.3"
"January 2020","158.6"
"February 2020","156.6"
"March 2020","140.6"
"April 2020","128.3"
"May 2020","137.0"
"June 2020","146.2"
"July 2020","149.7"
"August 2020","149.3"
"September 2020","149.8"
"October 2020","149.4"
"November 2020","149.1"
"December 2020","152.0"
"January 2021","154.3"
"February 2021","160.4"
"March 2021","167.4"
"April 2021","170.2"
"May 2021","173.2"
"June 2021","174.7"
"July 2021","179.2"
"August 2021","180.2"
"September 2021","179.9"
"October 2021","187.5"
"November 2021","188.4"
"December 2021","184.2"
"January 2022","190.0"
"February 2022","199.0"
"March 2022","213.9"
"April 2022","215.1"
"May 2022","233.4"
"June 2022","242.5"
"July 2022","229.4"
"August 2022","214.5"
"September 2022","205.1"
"October 2022","217.9"
"November 2022","214.6"
"December 2022","197.7"
"January 2023","200.3"
"February 2023","197.9"
"March 2023","199.2"
"April 2023","206.0"
"May 2023","204.4"
"June 2023","207.2"
"July 2023","210.7"
"August 2023","218.4"
"September 2023","216.2"
"October 2023","206.2"
"November 2023","202.3"
"December 2023","197.0"
"January 2024","194.9"
"February 2024","200.4"
"March 2024","204.7"
"April 2024","215.2"
"May 2024","212.8"
"June 2024","208.3"
"July 2024","211.6"
"August 2024","208.2"





Footnotes:
1,"The Consumer Price Index (CPI) is not a cost-of-living index. The objective behind a cost-of-living index is to measure changes in expenditures necessary for consumers to maintain a constant standard of living. The idea is that consumers would normally switch between products as the price relationship of goods changes. If, for example, consumers get the same satisfaction from drinking tea as they do from coffee, then it is possible to substitute tea for coffee if the price of tea falls relative to the price of coffee. The cheaper of the interchangeable products may be chosen. We could compute a cost-of-living index for an individual if we had complete information about that person's taste and spending habits. To do this for a large number of people, let alone the total population of Canada, is impossible. For this reason, regularly published price indexes are based on the fixed-basket concept rather than the cost-of-living concept."
2,"This table replaces table 18-10-0008-01 which was archived with the release of April 2007 data."
