index,Rail transportation
2013-04-01,8384
2013-05-01,8475
2013-06-01,8169
2013-07-01,7800
2013-08-01,8229
2013-09-01,8423
2013-10-01,8836
2013-11-01,8675
2013-12-01,8279
2014-01-01,8439
2014-02-01,8609
2014-03-01,8925
2014-04-01,8677
2014-05-01,9732
2014-06-01,9699
2014-07-01,9305
2014-08-01,9203
2014-09-01,8900
2014-10-01,9070
2014-11-01,8665
2014-12-01,9198
2015-01-01,9092
2015-02-01,8971
2015-03-01,9389
2015-04-01,9366
2015-05-01,9428
2015-06-01,9311
2015-07-01,9420
2015-08-01,9445
2015-09-01,9226
2015-10-01,9204
2015-11-01,9303
2015-12-01,9182
2016-01-01,9177
2016-02-01,9056
2016-03-01,8984
2016-04-01,8687
2016-05-01,8521
2016-06-01,8650
2016-07-01,8753
2016-08-01,9147
2016-09-01,9008
2016-10-01,9307
2016-11-01,9430
2016-12-01,9016
2017-01-01,9492
2017-02-01,9655
2017-03-01,9519
2017-04-01,9914
2017-05-01,9584
2017-06-01,9514
2017-07-01,9513
2017-08-01,9389
2017-09-01,9748
2017-10-01,9560
2017-11-01,9824
2017-12-01,9752
2018-01-01,9646
2018-02-01,9905
2018-03-01,9977
2018-04-01,9805
2018-05-01,10137
2018-06-01,10299
2018-07-01,10676
2018-08-01,10543
2018-09-01,10836
2018-10-01,10631
2018-11-01,10821
2018-12-01,11200
2019-01-01,10879
2019-02-01,9874
2019-03-01,10107
2019-04-01,10896
2019-05-01,11318
2019-06-01,11232
2019-07-01,10917
2019-08-01,11085
2019-09-01,10072
2019-10-01,10097
2019-11-01,9632
2019-12-01,10467
2020-01-01,9718
2020-02-01,9483
2020-03-01,9604
2020-04-01,8698
2020-05-01,8657
2020-06-01,8837
2020-07-01,8812
2020-08-01,8734
2020-09-01,9297
2020-10-01,9477
2020-11-01,9811
2020-12-01,9908
2021-01-01,10252
2021-02-01,9619
2021-03-01,9701
2021-04-01,9605
2021-05-01,9256
2021-06-01,9188
2021-07-01,9226
2021-08-01,9366
2021-09-01,9565
2021-10-01,9501
2021-11-01,9115
2021-12-01,9030
