index,All industries,Manufacturing,Wholesale and retail trade,Transportation,Entertainment and hospitality
1986-01-01,182440,47960.0,22930.0,47720.0,1020.0
1986-02-01,202670,64380.0,18970.0,45130.0,1520.0
1986-03-01,319300,116810.0,16990.0,33140.0,5230.0
1986-04-01,209490,92940.0,17310.0,11570.0,2930.0
1986-05-01,1080150,93800.0,15790.0,6400.0,12030.0
1986-06-01,1322420,150640.0,15480.0,5490.0,6940.0
1986-07-01,343650,215550.0,14730.0,3080.0,6750.0
1986-08-01,750690,558320.0,52670.0,1150.0,7610.0
1986-09-01,891590,610260.0,39170.0,33010.0,3210.0
1986-10-01,770370,617750.0,9420.0,28620.0,3170.0
1986-11-01,685410,555170.0,6770.0,21520.0,3010.0
1986-12-01,393290,300080.0,10910.0,4770.0,4480.0
1987-01-01,264730,188570.0,42780.0,5500.0,4720.0
1987-02-01,160310,62030.0,40140.0,3350.0,14350.0
1987-03-01,170580,50900.0,11480.0,630.0,14880.0
1987-04-01,262340,69680.0,15090.0,57900.0,13580.0
1987-05-01,274860,146710.0,18280.0,37070.0,18170.0
1987-06-01,640230,231040.0,38080.0,36530.0,22780.0
1987-07-01,400600,329350.0,36040.0,8680.0,7290.0
1987-08-01,494860,239040.0,30890.0,182160.0,4700.0
1987-09-01,322230,128160.0,37880.0,18060.0,3340.0
1987-10-01,407680,92070.0,32630.0,146160.0,2280.0
1987-11-01,186960,116070.0,16410.0,33730.0,1370.0
1987-12-01,222650,63570.0,18220.0,100690.0,8270.0
1988-01-01,182490,71960.0,15030.0,9260.0,7340.0
1988-02-01,260120,104240.0,16850.0,2220.0,20170.0
1988-03-01,248810,175270.0,14040.0,8330.0,6440.0
1988-04-01,146050,90920.0,10680.0,10970.0,4350.0
1988-05-01,512320,123840.0,11530.0,75760.0,4810.0
1988-06-01,615300,119900.0,12490.0,80550.0,3780.0
1988-07-01,614420,105900.0,11360.0,12000.0,2620.0
1988-08-01,751330,137410.0,13080.0,23390.0,7130.0
1988-09-01,802300,120210.0,15940.0,30850.0,28800.0
1988-10-01,498960,84260.0,17820.0,10200.0,30470.0
1988-11-01,172770,103620.0,15760.0,8420.0,12840.0
1988-12-01,96390,56680.0,14370.0,7010.0,7740.0
1989-01-01,152080,100720.0,14030.0,8720.0,5510.0
1989-02-01,240700,185420.0,19690.0,8760.0,1540.0
1989-03-01,318250,190950.0,20260.0,17820.0,2110.0
1989-04-01,238010,103150.0,19120.0,10420.0,2380.0
1989-05-01,215410,108340.0,11580.0,8750.0,3110.0
1989-06-01,355120,123520.0,21390.0,6650.0,2880.0
