index,SWE
1986-02-01,25.425
1986-03-01,40.1
1986-04-01,43.1
1986-05-01,29.15
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,18.3
1987-03-01,24.025
1987-04-01,33.525
1987-05-01,17.424999999999997
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,26.475
1988-03-01,25.65
1988-04-01,16.85
1988-05-01,8.512500000000001
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,17.1
1989-03-01,20.1
1989-04-01,31.975
1989-05-01,15.95
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,8.1
1990-03-01,15.3
1990-04-01,11.0
1990-05-01,0.0
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,4.225
1991-03-01,7.8
1991-04-01,28.1
1991-05-01,21.45
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,
1992-02-01,16.275
1992-03-01,36.025
1992-04-01,46.325
1992-05-01,26.35
1992-06-01,
1992-07-01,
1992-08-01,
1992-09-01,
1992-10-01,
1992-11-01,
1992-12-01,
1993-01-01,
1993-02-01,37.175
1993-03-01,51.225
1993-04-01,44.9
1993-05-01,40.35
1993-06-01,
1993-07-01,
1993-08-01,
1993-09-01,
1993-10-01,
1993-11-01,
1993-12-01,
1994-01-01,
1994-02-01,19.275
1994-03-01,26.75
1994-04-01,22.85
1994-05-01,12.175
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,12.0
1995-02-01,51.875
1995-03-01,43.325
1995-04-01,64.0
1995-05-01,57.875
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,23.875
1996-03-01,36.63333333333333
1996-04-01,29.775
1996-05-01,20.6
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,22.675
1997-03-01,23.25
1997-04-01,19.75
1997-05-01,10.133333333333333
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
