index,Farm product wholesaler-distributors,"Food, beverage and tobacco wholesaler-distributors",Food and beverage stores
2007-01-01,1540,13209,18024
2007-02-01,1477,13656,18058
2007-03-01,1505,13725,18079
2007-04-01,1479,13654,18456
2007-05-01,1560,13856,18523
2007-06-01,1514,13846,18657
2007-07-01,1508,14163,18609
2007-08-01,1565,14189,18803
2007-09-01,1554,14123,18820
2007-10-01,1542,14046,18935
2007-11-01,1480,13924,19172
2007-12-01,1539,13749,19363
2008-01-01,1636,13743,19191
2008-02-01,1539,14004,19156
2008-03-01,1572,13872,19041
2008-04-01,1525,13983,19260
2008-05-01,1501,14021,19046
2008-06-01,1525,14132,19210
2008-07-01,1535,13779,19114
2008-08-01,1555,14000,19293
2008-09-01,1573,13916,19149
2008-10-01,1626,14089,19533
2008-11-01,1579,13708,19161
2008-12-01,1494,13756,19101
2009-01-01,1521,13932,19343
2009-02-01,1707,13430,19268
2009-03-01,1653,13322,19281
2009-04-01,1741,13169,19156
2009-05-01,1718,13044,19101
2009-06-01,1764,12965,19170
2009-07-01,1724,12799,18978
2009-08-01,1624,12893,18831
2009-09-01,1531,13026,19061
2009-10-01,1638,12544,18786
2009-11-01,1696,12991,18722
2009-12-01,1724,13204,18592
2010-01-01,1642,13047,18944
2010-02-01,1709,13624,19161
2010-03-01,1727,13510,19119
2010-04-01,1737,13555,18911
2010-05-01,1752,13529,18920
2010-06-01,1810,13619,18886
2010-07-01,1874,13925,19081
2010-08-01,1885,13636,19004
2010-09-01,1681,13830,19034
2010-10-01,1737,13836,18936
2010-11-01,1799,14060,19284
2010-12-01,1721,13929,18732
2011-01-01,1585,14024,18896
2011-02-01,1667,13699,18934
2011-03-01,1549,13762,18697
2011-04-01,1515,13954,18820
2011-05-01,1539,13788,18609
2011-06-01,1531,13904,18700
2011-07-01,1582,13956,18763
2011-08-01,1493,13856,18695
2011-09-01,1586,13753,18786
2011-10-01,1555,13853,18838
2011-11-01,1524,13908,18777
2011-12-01,1546,13887,19000
2012-01-01,1574,13803,18632
2012-02-01,1555,13664,18718
2012-03-01,1618,13744,18883
2012-04-01,1622,13803,18637
2012-05-01,1460,13670,18901
2012-06-01,1271,13650,19037
2012-07-01,1247,13645,19035
2012-08-01,1574,13736,18929
2012-09-01,1664,13741,19071
2012-10-01,1700,13677,18969
2012-11-01,1640,13502,19153
2012-12-01,1843,13477,19206
2013-01-01,1835,13797,19199
2013-02-01,1638,13708,19240
2013-03-01,1830,13568,19189
2013-04-01,1905,13527,19243
2013-05-01,1886,13856,19567
2013-06-01,1606,13533,18976
2013-07-01,1638,13827,19204
2013-08-01,1567,13915,19676
2013-09-01,1872,13695,19301
2013-10-01,1908,14172,19633
2013-11-01,1827,14097,19329
2013-12-01,1632,14278,19294
2014-01-01,1711,13823,19390
2014-02-01,1751,13790,19156
2014-03-01,1980,13991,19047
2014-04-01,1937,13755,19240
2014-05-01,2009,13784,18419
2014-06-01,2014,14110,18999
2014-07-01,2214,13783,18819
2014-08-01,2116,13960,18431
2014-09-01,1943,13944,18609
2014-10-01,1873,13598,18413
2014-11-01,1813,13819,18396
2014-12-01,1918,13603,18610
2015-01-01,1842,13913,17880
2015-02-01,1962,13901,17830
2015-03-01,2028,13845,18319
2015-04-01,2155,13576,17858
2015-05-01,2311,13814,17654
2015-06-01,2246,13727,17774
2015-07-01,2090,13741,17857
2015-08-01,2100,13516,18066
2015-09-01,2175,13648,18277
2015-10-01,2249,13395,17609
2015-11-01,2310,13567,18195
2015-12-01,2308,13589,18250
2016-01-01,2291,13357,18239
2016-02-01,2356,12976,18519
2016-03-01,2134,12687,18639
2016-04-01,2146,13001,18742
2016-05-01,2047,13226,19212
2016-06-01,2066,13214,19142
2016-07-01,2320,13254,19097
2016-08-01,2013,13142,19270
2016-09-01,2080,13239,19366
2016-10-01,2141,13395,19529
2016-11-01,2154,13161,19538
2016-12-01,2039,13351,19366
2017-01-01,2222,12871,19669
2017-02-01,2361,13366,19852
2017-03-01,2302,13605,19472
2017-04-01,2416,13457,19540
2017-05-01,2375,13428,19696
2017-06-01,2409,13022,19724
2017-07-01,2278,13055,19650
2017-08-01,2355,13268,19442
2017-09-01,2352,13038,19338
2017-10-01,2380,13197,19406
2017-11-01,2446,13558,19245
2017-12-01,2196,13423,19518
2018-01-01,2341,13385,19462
2018-02-01,2063,13662,19431
2018-03-01,2247,13422,19595
2018-04-01,2211,13674,19341
2018-05-01,2631,13683,19895
2018-06-01,2200,13412,19792
2018-07-01,2333,13682,19865
2018-08-01,2523,13942,20409
2018-09-01,2440,13872,20218
2018-10-01,2377,14469,20159
2018-11-01,2527,14047,20074
2018-12-01,2559,14218,20175
2019-01-01,2400,14115,20476
2019-02-01,2204,14278,20446
2019-03-01,2461,14435,20272
2019-04-01,2678,14578,20423
2019-05-01,2544,14570,20027
2019-06-01,2561,14808,19975
2019-07-01,2297,15164,20425
2019-08-01,2237,14785,20396
2019-09-01,2247,14714,20367
2019-10-01,2371,14988,20312
2019-11-01,2352,15093,20201
2019-12-01,2328,15364,20712
2020-01-01,2311,15180,20863
2020-02-01,2221,15077,20222
2020-03-01,2368,15388,22637
2020-04-01,2365,14428,20644
2020-05-01,2460,14544,20548
2020-06-01,2537,15325,21137
2020-07-01,2789,15271,20757
2020-08-01,2751,14373,20678
2020-09-01,2490,15013,20675
2020-10-01,2470,14902,20455
2020-11-01,2470,14977,21198
2020-12-01,2624,14958,21070
2021-01-01,2619,15270,21749
2021-02-01,2671,14854,21512
2021-03-01,2716,15208,21168
2021-04-01,2637,15364,20981
2021-05-01,2411,15566,20766
2021-06-01,2434,15213,20540
2021-07-01,2289,15216,20024
2021-08-01,2332,15447,20417
2021-09-01,2206,15562,20663
2021-10-01,2079,15645,20467
2021-11-01,1986,15599,20515
2021-12-01,1880,15256,20366
2022-01-01,1896,15304,20613
2022-02-01,1990,15414,20283
2022-03-01,1707,15621,20561
2022-04-01,1726,14859,19626
2022-05-01,1874,15341,19796
2022-06-01,1928,15133,19559
2022-07-01,2236,15333,19486
2022-08-01,2099,15682,19537
2022-09-01,2269,15835,19066
2022-10-01,2520,15829,19297
2022-11-01,2544,14935,18933
2022-12-01,2387,15454,18815
2023-01-01,2690,15693,19019
2023-02-01,2696,15158,19191
2023-03-01,2796,15125,19271
2023-04-01,2624,14773,19467
2023-05-01,2240,14937,19680
2023-06-01,2358,15051,19454
2023-07-01,2395,15131,19640
2023-08-01,2400,14911,19417
2023-09-01,2538,15069,19362
2023-10-01,2540,14773,19382
2023-11-01,2376,14766,19035
2023-12-01,2387,14752,19583
2024-01-01,2203,14666,19247
2024-02-01,2507,14403,19162
2024-03-01,2464,14772,19028
